corner	crossing	analysis	slack_ns
8_slow_1100mv_0c	audio_payload	net	48.192
8_slow_1100mv_0c	audio_payload	path	47.430
8_slow_1100mv_0c	backing_base	net	17.866
8_slow_1100mv_0c	backing_base	path	16.200
8_slow_1100mv_0c	committed	net	8.335
8_slow_1100mv_0c	committed	path	7.869
8_slow_1100mv_0c	crc_bad_bios	path	17.273
8_slow_1100mv_0c	crc_bad_cart	path	17.282
8_slow_1100mv_0c	crc_bad_error	path	15.005
8_slow_1100mv_0c	expected_crc	net	16.708
8_slow_1100mv_0c	expected_crc	path	15.053
8_slow_1100mv_0c	fifo_read	net	8.447
8_slow_1100mv_0c	fifo_read	path	7.984
8_slow_1100mv_0c	fifo_write	net	8.553
8_slow_1100mv_0c	fifo_write	path	6.888
8_slow_1100mv_0c	gray	skew	8.676
8_slow_1100mv_0c	result_crc	net	17.426
8_slow_1100mv_0c	result_crc	path	16.951
8_slow_1100mv_0c	rtc_payload	path	44.823
8_slow_1100mv_0c	runtime_size	net	17.479
8_slow_1100mv_0c	runtime_size	path	15.236
8_slow_1100mv_0c	slot_kind	path	16.687
8_slow_1100mv_0c	slot_size	net	17.211
8_slow_1100mv_0c	slot_size	path	15.494
8_slow_1100mv_85c	audio_payload	net	48.217
8_slow_1100mv_85c	audio_payload	path	47.403
8_slow_1100mv_85c	backing_base	net	17.861
8_slow_1100mv_85c	backing_base	path	16.196
8_slow_1100mv_85c	committed	net	8.362
8_slow_1100mv_85c	committed	path	7.811
8_slow_1100mv_85c	crc_bad_bios	path	17.223
8_slow_1100mv_85c	crc_bad_cart	path	17.226
8_slow_1100mv_85c	crc_bad_error	path	14.904
8_slow_1100mv_85c	expected_crc	net	16.616
8_slow_1100mv_85c	expected_crc	path	14.964
8_slow_1100mv_85c	fifo_read	net	8.456
8_slow_1100mv_85c	fifo_read	path	7.904
8_slow_1100mv_85c	fifo_write	net	8.575
8_slow_1100mv_85c	fifo_write	path	6.920
8_slow_1100mv_85c	gray	skew	8.732
8_slow_1100mv_85c	result_crc	net	17.391
8_slow_1100mv_85c	result_crc	path	16.827
8_slow_1100mv_85c	rtc_payload	path	44.877
8_slow_1100mv_85c	runtime_size	net	17.472
8_slow_1100mv_85c	runtime_size	path	15.251
8_slow_1100mv_85c	slot_kind	path	16.689
8_slow_1100mv_85c	slot_size	net	17.134
8_slow_1100mv_85c	slot_size	path	15.431
MIN_fast_1100mv_0c	audio_payload	net	49.210
MIN_fast_1100mv_0c	audio_payload	path	48.740
MIN_fast_1100mv_0c	backing_base	net	19.043
MIN_fast_1100mv_0c	backing_base	path	18.027
MIN_fast_1100mv_0c	committed	net	9.321
MIN_fast_1100mv_0c	committed	path	9.382
MIN_fast_1100mv_0c	crc_bad_bios	path	19.142
MIN_fast_1100mv_0c	crc_bad_cart	path	19.139
MIN_fast_1100mv_0c	crc_bad_error	path	18.312
MIN_fast_1100mv_0c	expected_crc	net	18.416
MIN_fast_1100mv_0c	expected_crc	path	17.392
MIN_fast_1100mv_0c	fifo_read	net	9.356
MIN_fast_1100mv_0c	fifo_read	path	9.412
MIN_fast_1100mv_0c	fifo_write	net	9.439
MIN_fast_1100mv_0c	fifo_write	path	8.417
MIN_fast_1100mv_0c	gray	skew	9.312
MIN_fast_1100mv_0c	result_crc	net	18.805
MIN_fast_1100mv_0c	result_crc	path	18.861
MIN_fast_1100mv_0c	rtc_payload	path	47.210
MIN_fast_1100mv_0c	runtime_size	net	18.850
MIN_fast_1100mv_0c	runtime_size	path	17.580
MIN_fast_1100mv_0c	slot_kind	path	18.307
MIN_fast_1100mv_0c	slot_size	net	18.695
MIN_fast_1100mv_0c	slot_size	path	17.655
MIN_fast_1100mv_85c	audio_payload	net	49.114
MIN_fast_1100mv_85c	audio_payload	path	48.620
MIN_fast_1100mv_85c	backing_base	net	18.929
MIN_fast_1100mv_85c	backing_base	path	17.897
MIN_fast_1100mv_85c	committed	net	9.256
MIN_fast_1100mv_85c	committed	path	9.300
MIN_fast_1100mv_85c	crc_bad_bios	path	19.033
MIN_fast_1100mv_85c	crc_bad_cart	path	19.029
MIN_fast_1100mv_85c	crc_bad_error	path	18.130
MIN_fast_1100mv_85c	expected_crc	net	18.208
MIN_fast_1100mv_85c	expected_crc	path	17.167
MIN_fast_1100mv_85c	fifo_read	net	9.295
MIN_fast_1100mv_85c	fifo_read	path	9.332
MIN_fast_1100mv_85c	fifo_write	net	9.396
MIN_fast_1100mv_85c	fifo_write	path	8.356
MIN_fast_1100mv_85c	gray	skew	9.274
MIN_fast_1100mv_85c	result_crc	net	18.655
MIN_fast_1100mv_85c	result_crc	path	18.695
MIN_fast_1100mv_85c	rtc_payload	path	47.029
MIN_fast_1100mv_85c	runtime_size	net	18.709
MIN_fast_1100mv_85c	runtime_size	path	17.416
MIN_fast_1100mv_85c	slot_kind	path	18.227
MIN_fast_1100mv_85c	slot_size	net	18.532
MIN_fast_1100mv_85c	slot_size	path	17.472
